timestamp,question_id,lesson,question_type,reason,file_path
2026-06-15T08:47:18.343427,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.368358,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.387615,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.405225,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.421912,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.440630,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.456920,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.473610,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.496077,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.512814,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.532306,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.552327,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.578630,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.603209,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.625135,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.643344,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.663365,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.683028,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.703897,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.732076,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.755680,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.775507,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.797163,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.817238,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.836153,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.857676,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.881141,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.899323,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.923661,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.943539,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.963856,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.981421,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.006336,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.025746,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.048370,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.072702,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.092841,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.115164,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.136776,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.157436,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.180723,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.203126,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.223279,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.245834,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.267393,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.290564,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.312140,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.338362,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.359222,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.381329,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.401098,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.422754,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.447057,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.471022,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.491392,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.511318,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.529245,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.553683,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.582352,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.599538,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.620389,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.663418,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.682019,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.704576,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.724280,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.745614,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.769970,,,HTML_SANITIZER,Removed tag: <img>,
